job_id,job_title,job_location,job_schedule_type,salary_year_avg,job_posted_date
226942,Data Analyst,Anywhere,Full-time,650000,20/02/2023 15:13
1246069,Data Analyst,Anywhere,Full-time,165000,08/12/2023 9:16
712473,Data Analyst,Anywhere,Full-time,165000,14/08/2023 16:01
456042,Data Analyst,Anywhere,Full-time,151500,25/09/2023 10:59
405581,Data Analyst,Anywhere,Full-time,145000,01/05/2023 13:00
479485,Data Analyst,Anywhere,Full-time,145000,15/03/2023 16:59
1090975,Data Analyst,Anywhere,Full-time,140500,24/03/2023 7:06
1482852,Data Analyst,Anywhere,Full-time,138500,23/11/2023 12:38
1326467,Data Analyst,Anywhere,Full-time,135000,26/06/2023 17:00
479965,Data Analyst,Anywhere,Full-time,135000,26/02/2023 1:04
